Udaan,(2010),8.1,www.imdb.com/title/tt1639426/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_45
Dil Chahta Hai,(2001),8.1,www.imdb.com/title/tt0292490/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_46
Ustad Hotel,(2012),8.1,www.imdb.com/title/tt2218988/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_47
Pink,(2016),8.1,www.imdb.com/title/tt5571734/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_48
Roja,(1992),8.1,www.imdb.com/title/tt0105271/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_49
Bangalore Days,(2014),8.1,www.imdb.com/title/tt3668162/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_50
Lagaan: Once Upon a Time in India,(2001),8.1,www.imdb.com/title/tt0169102/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_51
Sarfarosh,(1999),8.1,www.imdb.com/title/tt0200087/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_52
PK,(2014),8.1,www.imdb.com/title/tt2338151/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_53
Iqbal,(2005),8.1,www.imdb.com/title/tt0453729/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_54
Arjun Reddy,(2017),8.1,www.imdb.com/title/tt7294534/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_55
Maqbool,(2003),8.1,www.imdb.com/title/tt0379370/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_56
Sairat,(2016),8.1,www.imdb.com/title/tt5312232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_57
Zindagi Na Milegi Dobara,(2011),8.1,www.imdb.com/title/tt1562872/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_58
Baahubali 2: The Conclusion,(2017),8.1,www.imdb.com/title/tt4849438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_59
Omkara,(2006),8.1,www.imdb.com/title/tt0488414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_60
Anniyan,(2005),8.1,www.imdb.com/title/tt0376127/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_61
Bommarillu,(2006),8.1,www.imdb.com/title/tt0843326/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_62
Lage Raho Munna Bhai,(2006),8.1,www.imdb.com/title/tt0456144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_63
